region	farm	housing	ownership	residential_area	householder_rel	sex	age_code	marrige_status	education	learn_status	preschool_child	preschool_child_num	economic	sideline	hour_dayjob	hour_sideline	industry	job	job_status	wage_earner_work_form	offday	monthly_income
37	2	2	1	74	2	2	3	2	5	1	1	1	1	2	40	-1	10	3	1	1	2	5
37	2	2	1	60	1	1	3	2	4	1	1	1	1	2	40	-1	2	8	1	1	3	5
37	2	1	3	33	9	2	1	1	5	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	3	1	86	3	1	1	1	4	4	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	99	1	2	6	3	1	1	2	-1	1	2	40	-1	8	9	1	1	3	3
37	1	1	1	99	1	2	6	3	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	2	1	60	3	1	2	1	4	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	86	1	1	4	2	4	1	2	-1	1	2	40	-1	5	3	1	1	3	10
37	2	4	1	56	1	1	4	2	4	3	2	-1	1	2	56	-1	2	8	1	1	3	9
37	2	1	3	75	3	1	2	1	4	2	2	-1	1	1	25	20	10	9	1	2	4	2
37	2	2	1	60	2	2	5	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	86	1	1	6	2	5	1	2	-1	1	2	46	-1	10	2	1	1	2	11
37	1	1	1	66	3	2	3	1	4	1	2	-1	1	2	45	-1	10	2	1	1	3	5
37	2	2	1	86	6	2	5	3	1	1	2	-1	1	1	72	15	10	9	1	1	1	3
37	1	1	1	66	2	2	5	2	1	1	2	-1	1	2	30	-1	6	4	1	2	5	3
37	1	1	1	99	2	2	6	2	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	2	3	51	1	1	3	2	5	1	1	1	1	2	19	-1	10	2	1	2	5	5
37	2	1	3	33	1	2	1	1	5	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	5	2	20	1	2	6	3	1	1	2	-1	1	2	36	-1	6	4	3	-1	1	4
37	2	2	1	60	2	2	4	2	2	1	2	-1	1	2	75	-1	10	4	1	1	1	5
37	2	2	1	60	1	1	3	2	5	1	1	2	1	2	45	-1	7	3	1	1	3	8
37	2	1	3	33	1	2	1	1	5	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	2	2	56	2	2	3	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	83	2	2	4	2	3	1	2	-1	1	2	56	-1	4	5	1	1	1	4
37	2	2	1	86	6	2	6	3	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	1	1	99	2	2	5	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	85	2	2	4	2	4	2	2	-1	1	2	40	-1	10	3	1	1	1	4
37	2	1	3	60	2	2	3	2	3	1	1	1	1	2	9	-1	1	9	1	2	5	2
37	2	4	2	42	3	1	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	3	73	1	2	3	2	4	1	1	1	1	2	55	-1	10	2	1	1	3	6
37	2	3	1	65	3	2	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
